Genus,N_Test_Rows,Clockwise_Order,Display_Variable,Model_Feature,Category,SHAP_P05,SHAP_P95,Absolute_P05_Plus_P95,Robust_SHAP_Range_P05_P95,Mean_Absolute_SHAP,High_minus_Low_SHAP_for_Display_Variable,Feature_SHAP_Spearman_for_Display_Variable,Decile_Monotonicity_Score,Previous_Association_Class,Association_Class,Classification_Changed_After_Audit,Classification_Reason,Plot_Color,Feature_Share_of_Genus_Absolute_SHAP_Impact
Betula,401,11,Illumination,lightemiss,Atmosphere,-0.0574946403503418,0.0342686884105205,0.0917633287608623,0.0917633287608623,0.0220074942158305,0.0123362604015562,0.2423570551636384,0.5208291291060383,Nonlinear association,Nonlinear association,False,Weak overall direction: |Spearman| < 0.25,#B9BEC5,0.06585735500672342
Pinus,219,1,View factor,avg_svf,Structure,-0.052294310927391,0.0559244520962238,0.1082187630236148,0.1082187630236148,0.0274337633442746,-0.0473442139569669,-0.5868745764994616,0.6493926941716157,Nonlinear association,Negative association,True,Borderline monotonicity retained as directional because |Spearman| >= 0.50 and Spearman/end-contrast signs agree,#9CCFAE,0.08519052262166778
Pinus,219,2,Diversity,Mono_Rate,Structure,-0.0768226563930511,0.0501765649765729,0.126999221369624,0.1269992213696241,0.032522917701557,-0.0222104205396761,-0.2142640767027294,0.5328495197111531,Nonlinear association,Nonlinear association,False,Weak overall direction: |Spearman| < 0.25,#B9BEC5,0.09997462305739223
Pinus,219,3,Density,Density25,Structure,-0.0807995811104774,0.2009115979075431,0.2817111790180205,0.2817111790180206,0.0798592701843741,0.2142120562962007,0.9093014493464108,0.9978772864573595,Positive association,Positive association,False,Directional Spearman and decile pattern,#1F7A4D,0.2217648945375068
Pinus,219,4,Park condition,type_Puisto,Structure,-0.0102071530185639,0.015664255619049,0.025871408637612902,0.025871408637613,0.0075455992687259,-0.0031768769138415,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#9CCFAE,0.02036614318273099
Pinus,219,5,Moraine,soil_moraine,Soil,-0.0004166710961726,0.0074824743438512,0.0078991454400238,0.0078991454400238,0.0047100159476421,-0.0270484243339772,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#F3A187,0.0062182592879328
Pinus,219,6,Infill,soil_infill,Soil,-0.0261798961088061,0.0344576258212327,0.060637521930038796,0.0606375219300389,0.0201355392585368,0.0409983282421663,,1.0,Positive association,Positive association,False,Binary indicator: sign of high-minus-low SHAP contrast,#D84A36,0.04773425642072448
Pinus,219,7,Bedrock,soil_bedrock,Soil,-0.0667646378278732,0.0686154395341873,0.1353800773620605,0.1353800773620605,0.0416308473880704,-0.0841036898998408,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#F3A187,0.1065720880631307
Pinus,219,8,LST,avg_LST,Atmosphere,-0.1032729960978031,0.049571181461215,0.1528441775590181,0.1528441775590181,0.0339395602223873,0.0840213385796894,0.6447849187630246,0.7997309320129051,Positive association,Positive association,False,Directional Spearman and decile pattern,#187CAD,0.1203199426987574
Pinus,219,9,Radiation,avg_radiation,Atmosphere,-0.0903449207544326,0.0641020216047763,0.1544469423592089,0.154446942359209,0.0372061661182005,-0.1005053822586143,-0.8272734361458097,0.9388678846559905,Negative association,Negative association,False,Directional Spearman and decile pattern,#9BD5E6,0.12158164969995525
Pinus,219,10,Noise,avg_noise_day,Atmosphere,-0.0592214155942201,0.0836085610091686,0.1428299766033887,0.1428299766033887,0.0383506388371979,-0.0996138520653708,-0.917244096904914,1.0,Negative association,Negative association,False,Directional Spearman and decile pattern,#9BD5E6,0.1124366977862064
